
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 0 | Epoch: (7/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 1 | Epoch: (10/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 0 | Epoch: (10/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 7 | Epoch: (7/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 8 | Epoch: (1/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 0 | Epoch: (13/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 7 | Epoch: (10/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 0 | Epoch: (16/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 2 | Epoch: (4/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 5 | Epoch: (13/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 9 | Epoch: (25/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 3 | Epoch: (4/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 6 | Epoch: (1/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 1 | Epoch: (13/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 6 | Epoch: (4/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 8 | Epoch: (4/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 1 | Epoch: (16/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 4 | Epoch: (4/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 3 | Epoch: (7/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 0 | Epoch: (19/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 6 | Epoch: (7/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 9 | Epoch: (28/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 7 | Epoch: (13/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 5 | Epoch: (16/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 7 | Epoch: (16/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 2 | Epoch: (7/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 5 | Epoch: (19/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 5 | Epoch: (22/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 8 | Epoch: (7/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 0 | Epoch: (22/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 1 | Epoch: (19/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 6 | Epoch: (10/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 9 | Epoch: (31/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 4 | Epoch: (7/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 2 | Epoch: (10/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 5 | Epoch: (25/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 5 | Epoch: (28/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 3 | Epoch: (10/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 5 | Epoch: (31/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 7 | Epoch: (19/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 2 | Epoch: (13/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 5 | Epoch: (34/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 4 | Epoch: (10/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 7 | Epoch: (22/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 4 | Epoch: (13/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 2 | Epoch: (16/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 8 | Epoch: (10/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 3 | Epoch: (13/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 0 | Epoch: (25/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 8 | Epoch: (13/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 8 | Epoch: (16/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 2 | Epoch: (19/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 1 | Epoch: (22/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 1 | Epoch: (25/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 3 | Epoch: (16/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 9 | Epoch: (34/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 3 | Epoch: (19/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 1 | Epoch: (28/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 4 | Epoch: (16/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 6 | Epoch: (13/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 2 | Epoch: (22/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 6 | Epoch: (16/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 7 | Epoch: (25/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 8 | Epoch: (19/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 7 | Epoch: (28/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 6 | Epoch: (19/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 0 | Epoch: (28/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
Spec: ((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9)))))	 | Run: 9 | Gen: (1/50) | TSz: 3 | numG#: 13 | Elapsed: 436.917089ms
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 7 | Epoch: (31/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 9 | Epoch: (1/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 4 | Epoch: (19/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 0 | Epoch: (31/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 7 | Epoch: (34/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 4 | Epoch: (22/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 0 | Epoch: (34/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
Spec: ((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9)))))	 | Run: 7 | Gen: (1/50) | TSz: 3 | numG#: 13 | Elapsed: 406.968789ms
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 4 | Epoch: (25/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 9 | Epoch: (4/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 7 | Epoch: (1/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 8 | Epoch: (22/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 8 | Epoch: (25/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
Spec: ((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9)))))	 | Run: 5 | Gen: (1/50) | TSz: 3 | numG#: 13 | Elapsed: 460.454525ms
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 1 | Epoch: (31/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 6 | Epoch: (22/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 3 | Epoch: (22/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 7 | Epoch: (4/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 2 | Epoch: (25/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 4 | Epoch: (28/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
Spec: ((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9)))))	 | Run: 0 | Gen: (1/50) | TSz: 3 | numG#: 13 | Elapsed: 520.58863ms
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 1 | Epoch: (34/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
Spec: ((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9)))))	 | Run: 1 | Gen: (1/50) | TSz: 3 | numG#: 13 | Elapsed: 546.923624ms
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 1 | Epoch: (1/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 1 | Epoch: (4/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 1 | Epoch: (7/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 1 | Epoch: (10/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 6 | Epoch: (25/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 7 | Epoch: (7/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 0 | Epoch: (1/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 8 | Epoch: (28/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 9 | Epoch: (7/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 3 | Epoch: (25/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 9 | Epoch: (10/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 2 | Epoch: (28/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 4 | Epoch: (31/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 2 | Epoch: (31/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 2 | Epoch: (34/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 7 | Epoch: (10/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
Spec: ((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9)))))	 | Run: 2 | Gen: (1/50) | TSz: 3 | numG#: 13 | Elapsed: 567.33603ms
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 3 | Epoch: (28/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 1 | Epoch: (13/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 4 | Epoch: (34/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 6 | Epoch: (28/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 7 | Epoch: (13/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 2 | Epoch: (1/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 0 | Epoch: (4/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 3 | Epoch: (31/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 9 | Epoch: (13/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 9 | Epoch: (16/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 2 | Epoch: (4/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 6 | Epoch: (31/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 7 | Epoch: (16/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 8 | Epoch: (31/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 5 | Epoch: (1/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 3 | Epoch: (34/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
Spec: ((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9)))))	 | Run: 4 | Gen: (1/50) | TSz: 3 | numG#: 13 | Elapsed: 619.500601ms
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 0 | Epoch: (7/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 1 | Epoch: (16/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 9 | Epoch: (19/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 9 | Epoch: (22/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 9 | Epoch: (25/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 9 | Epoch: (28/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 9 | Epoch: (31/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 4 | Epoch: (1/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 9 | Epoch: (34/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 5 | Epoch: (4/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 0 | Epoch: (10/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 8 | Epoch: (34/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
Spec: ((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9)))))	 | Run: 8 | Gen: (1/50) | TSz: 3 | numG#: 13 | Elapsed: 651.433094ms
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 2 | Epoch: (7/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 8 | Epoch: (1/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 8 | Epoch: (4/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 2 | Epoch: (10/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 8 | Epoch: (7/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 6 | Epoch: (34/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 0 | Epoch: (13/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 0 | Epoch: (16/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
Spec: ((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9)))))	 | Run: 6 | Gen: (1/50) | TSz: 3 | numG#: 13 | Elapsed: 699.084412ms
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 1 | Epoch: (19/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 7 | Epoch: (19/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 8 | Epoch: (10/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 5 | Epoch: (7/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
Spec: ((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9)))))	 | Run: 3 | Gen: (1/50) | TSz: 3 | numG#: 13 | Elapsed: 725.618788ms
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 3 | Epoch: (1/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 2 | Epoch: (13/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 4 | Epoch: (4/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 2 | Epoch: (16/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 3 | Epoch: (4/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 3 | Epoch: (7/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 1 | Epoch: (22/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 6 | Epoch: (1/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 7 | Epoch: (22/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
Spec: ((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9)))))	 | Run: 9 | Gen: (2/50) | TSz: 3 | numG#: 13 | Elapsed: 384.054492ms
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 2 | Epoch: (19/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 8 | Epoch: (13/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 7 | Epoch: (25/36)
2020-01-03T15:47:24+03:00 ==> Folder: 5 | 
  ==> Run: 3 | Epoch: (10/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 8 | Epoch: (16/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 8 | Epoch: (19/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 4 | Epoch: (7/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 0 | Epoch: (19/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 2 | Epoch: (22/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 1 | Epoch: (25/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 5 | Epoch: (10/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 3 | Epoch: (13/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 8 | Epoch: (22/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 1 | Epoch: (28/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 7 | Epoch: (28/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 5 | Epoch: (13/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 6 | Epoch: (4/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 5 | Epoch: (16/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 3 | Epoch: (16/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 0 | Epoch: (22/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 0 | Epoch: (25/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 6 | Epoch: (7/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 0 | Epoch: (28/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 6 | Epoch: (10/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 4 | Epoch: (10/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 7 | Epoch: (31/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 9 | Epoch: (1/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 1 | Epoch: (31/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 8 | Epoch: (25/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 0 | Epoch: (31/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 6 | Epoch: (13/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 3 | Epoch: (19/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 5 | Epoch: (19/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 7 | Epoch: (34/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 9 | Epoch: (4/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 1 | Epoch: (34/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
Spec: ((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9)))))	 | Run: 7 | Gen: (2/50) | TSz: 3 | numG#: 13 | Elapsed: 544.422391ms
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 7 | Epoch: (1/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 3 | Epoch: (22/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 6 | Epoch: (16/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
Spec: ((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9)))))	 | Run: 1 | Gen: (2/50) | TSz: 3 | numG#: 13 | Elapsed: 467.185865ms
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 4 | Epoch: (13/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 9 | Epoch: (7/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 0 | Epoch: (34/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 8 | Epoch: (28/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 2 | Epoch: (25/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 7 | Epoch: (4/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 2 | Epoch: (28/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 5 | Epoch: (22/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 4 | Epoch: (16/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 7 | Epoch: (7/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 6 | Epoch: (19/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 1 | Epoch: (1/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 1 | Epoch: (4/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
Spec: ((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9)))))	 | Run: 0 | Gen: (2/50) | TSz: 3 | numG#: 13 | Elapsed: 548.568337ms
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 1 | Epoch: (7/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 4 | Epoch: (19/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 9 | Epoch: (10/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 1 | Epoch: (10/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 4 | Epoch: (22/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 2 | Epoch: (31/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 3 | Epoch: (25/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 7 | Epoch: (10/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 5 | Epoch: (25/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 7 | Epoch: (13/36)
2020-01-03T15:47:25+03:00 ==> Folder: 5 | 
  ==> Run: 7 | Epoch: (16/36)
